age,education_level,marital_status,job_type,work_experience,hours_per_week,income,high_income
38,High School,Divorced,White Collar,24.0,27,71.0,0
31,High School,Married,Healthcare,12.0,33,118.43,1
28,PhD,Married,Healthcare,4.0,47,109.91,1
41,High School,Married,White Collar,,45,57.37,0
45,Master,Single,Tech,23.0,46,143.29,1
44,Bachelor,Divorced,White Collar,32.0,35,103.46,1
26,High School,Single,Healthcare,0.0,36,81.1,0
31,Bachelor,Single,Healthcare,13.0,27,86.49,1
38,Bachelor,Single,Management,24.0,46,101.97,1
44,Master,Single,Management,31.0,47,150.63,1
30,Master,Single,Blue Collar,7.0,47,46.21,0
33,High School,Single,Healthcare,13.0,51,82.45,0
23,,Single,Management,3.0,42,24.29,0
23,Bachelor,Married,White Collar,0.0,50,74.94,0
43,Master,Single,Tech,,38,158.31,1
48,High School,Single,White Collar,23.0,27,73.93,0
34,Bachelor,Married,Tech,,46,85.69,1
45,Bachelor,Single,Management,16.0,27,74.88,0
38,Bachelor,Married,Blue Collar,17.0,41,69.46,0
28,High School,Married,White Collar,14.0,46,58.38,0
38,Bachelor,Married,White Collar,30.0,42,116.84,1
50,Master,Married,White Collar,27.0,55,104.62,1
34,High School,Single,Tech,17.0,26,94.5,1
50,High School,Married,Management,32.0,39,93.69,1
18,PhD,Single,White Collar,0.0,40,75.3,0
43,High School,Single,White Collar,19.0,30,65.59,0
35,Master,Married,Blue Collar,10.0,31,86.93,1
32,Bachelor,Single,Blue Collar,19.0,34,91.9,1
35,High School,Married,Management,9.0,32,64.36,0
18,Master,Married,Management,2.0,39,62.92,0
32,High School,Married,Healthcare,25.0,35,124.79,1
38,Bachelor,Divorced,,25.0,42,65.64,0
49,,Single,Healthcare,29.0,44,122.62,1
29,Bachelor,Single,Tech,15.0,44,99.9,1
26,High School,Married,Healthcare,8.0,37,82.63,0
29,High School,Single,White Collar,9.0,41,49.06,0
44,PhD,Married,Healthcare,26.0,47,170.4,1
38,High School,Married,,22.0,43,14.16,0
29,Bachelor,Married,,,53,126.93,1
40,High School,Single,White Collar,21.0,46,57.95,1
35,Bachelor,Single,Healthcare,27.0,52,134.56,1
44,High School,Single,Tech,29.0,22,108.1,1
27,PhD,Single,,13.0,40,152.3,1
31,Bachelor,Married,White Collar,14.0,37,82.75,0
31,High School,Single,Healthcare,14.0,39,77.62,0
20,High School,Single,,0.0,34,32.7,0
37,High School,Single,Tech,11.0,42,77.22,0
37,,Married,Blue Collar,24.0,27,40.04,0
35,High School,Married,Tech,7.0,42,66.83,0
32,Master,Single,Blue Collar,17.0,34,80.75,1
20,High School,Single,Healthcare,1.0,36,62.4,0
30,High School,Single,Healthcare,9.0,43,90.44,1
31,Bachelor,Single,Healthcare,0.0,40,90.68,1
26,Bachelor,Married,Management,10.0,47,78.25,0
33,High School,Married,Healthcare,23.0,33,54.32,0
39,High School,Single,Tech,13.0,39,60.51,0
53,High School,Single,White Collar,,46,112.25,1
36,,Divorced,Blue Collar,19.0,42,92.89,1
37,Bachelor,Single,Management,24.0,42,65.42,0
34,Bachelor,Married,Healthcare,17.0,47,98.71,1
18,Master,Single,Healthcare,4.0,37,130.04,1
34,Master,Single,White Collar,12.0,35,78.24,0
35,Bachelor,Single,White Collar,16.0,44,81.57,0
59,Master,Single,Management,44.0,38,174.04,1
33,High School,Divorced,Blue Collar,10.0,47,45.37,0
38,High School,Single,Healthcare,18.0,42,91.51,1
34,High School,Single,Management,25.0,35,82.46,0
23,High School,Single,Tech,0.0,42,104.67,1
46,Bachelor,Single,Tech,27.0,33,125.92,1
42,Master,Single,Management,17.0,46,113.38,1
42,High School,Single,Healthcare,23.0,30,95.31,1
25,High School,Married,Management,10.0,48,80.38,0
49,Bachelor,Single,Healthcare,32.0,42,148.19,1
20,Master,Single,White Collar,0.0,38,54.14,1
40,High School,Divorced,Management,25.0,45,103.73,1
56,Bachelor,Single,Healthcare,40.0,43,142.98,1
25,High School,Divorced,,8.0,49,68.3,0
29,High School,Single,Management,16.0,49,59.71,0
35,PhD,Married,Healthcare,20.0,42,139.4,1
29,PhD,Married,Healthcare,10.0,33,112.6,1
19,High School,Married,Blue Collar,0.0,36,13.24,1
35,PhD,Divorced,Management,15.0,39,129.34,1
24,Bachelor,Single,Tech,6.0,47,82.9,1
39,Master,Divorced,Management,25.0,36,91.81,1
25,Bachelor,Single,Management,1.0,37,116.94,1
50,Bachlor,Single,Healthcare,29.0,52,104.91,1
27,Bachelor,Single,Management,12.0,39,107.44,1
31,Bachelor,Single,Management,8.0,35,52.87,0
43,High School,Single,Tech,22.0,45,107.33,1
22,High School,Married,Healthcare,,39,79.59,0
37,High School,Single,Management,19.0,30,67.22,0
48,Bachelor,Married,White Collar,32.0,47,109.53,1
18,High School,Married,Blue Collar,0.0,34,35.25,0
36,Bachelor,Single,Tech,15.0,40,86.15,1
37,PhD,Single,Management,18.0,39,108.45,1
42,High School,Single,White Collar,21.0,41,44.52,0
22,Bachelor,Single,Management,0.0,24,74.71,0
21,High School,Single,Management,3.0,90,44.32,0
40,Master,Single,Healthcare,24.0,5,131.08,1
37,High School,Single,Healthcare,14.0,48,110.25,1
37,Bachelor,Divorced,Healthcare,19.0,33,119.56,1
38,Master,Married,White Collar,25.0,46,94.94,1
28,Master,Single,Management,16.0,34,122.18,1
37,Bachelor,Married,Blue Collar,11.0,37,60.04,0
37,Bachelor,Single,Tech,18.0,37,78.52,0
27,Bachelor,Single,,11.0,40,99.13,1
53,Master,Married,Healthcare,36.0,47,168.34,1
39,Bachelor,Single,Management,16.0,41,81.31,0
23,High School,Single,Management,,39,80.56,0
41,Master,Divorced,,30.0,46,100.19,1
25,Bachelor,Married,White Collar,5.0,34,54.12,0
42,Bachelor,Married,Healthcare,17.0,39,95.68,1
46,High School,Married,Management,22.0,46,103.27,1
26,Bachelor,Married,Blue Collar,10.0,43,62.94,0
44,High School,Single,Tech,19.0,36,74.2,1
39,Bachelor,Single,Management,19.0,29,87.48,1
43,High School,Single,,18.0,42,22.18,0
53,Bachelor,Single,White Collar,32.0,28,119.36,1
32,PhD,Single,Tech,21.0,38,132.99,1
27,High School,Single,Healthcare,0.0,48,32.28,1
26,PhD,Divorced,,,44,82.07,0
26,High School,Divorced,Healthcare,5.0,25,71.97,0
34,Master,Married,Management,22.0,41,87.52,1
38,Bachelor,Single,Healthcare,17.0,37,130.47,1
37,Bachelor,Married,Tech,13.0,31,107.37,1
43,Bachelor,Single,White Collar,15.0,42,92.79,1
35,Master,Married,Tech,9.0,36,58.11,0
49,High School,Single,Blue Collar,28.0,36,64.29,0
32,High School,Married,White Collar,21.0,40,57.85,0
62,Bachelor,Single,Tech,43.0,35,120.72,1
41,Master,Married,Blue Collar,25.0,40,91.1,1
26,Bachelor,Divorced,Management,6.0,35,55.88,1
24,Bachelor,Single,Management,12.0,36,88.1,1
39,High School,Single,Healthcare,22.0,46,122.13,1
32,Master,Divorced,White Collar,16.0,47,111.81,1
42,High School,Single,Management,26.0,28,85.64,1
39,Bachelor,Married,White Collar,,45,132.58,1
34,High School,Married,Management,16.0,49,102.2,1
26,High School,Single,Healthcare,6.0,50,84.37,0
19,Bachlor,Single,Tech,13.0,43,77.55,0
30,High School,Single,Healthcare,23.0,32,128.16,1
43,,Married,,26.0,44,107.15,1
37,High School,Single,Management,19.0,33,52.19,0
22,High School,Single,Blue Collar,3.0,37,60.92,0
36,High School,Single,Blue Collar,,42,60.71,0
38,High School,Married,White Collar,19.0,34,53.78,0
26,High School,Married,Management,7.0,31,24.02,0
36,High School,Divorced,Blue Collar,21.0,43,58.62,1
35,Bachelor,Single,Tech,11.0,53,100.36,1
23,Bachelor,Married,Blue Collar,4.0,48,89.55,1
38,Bachelor,Married,Tech,17.0,44,125.14,1
40,Bachelor,Married,White Collar,21.0,46,79.54,0
45,High School,Divorced,,16.0,44,70.59,0
45,Master,Single,Healthcare,24.0,43,157.12,1
21,Bachelor,Single,White Collar,5.0,46,69.32,0
25,Bachelor,Married,Tech,2.0,30,71.26,0
40,High School,Single,White Collar,30.0,41,73.56,0
40,High School,Married,Blue Collar,21.0,39,72.51,0
40,High School,Married,Management,20.0,40,92.26,1
65,High School,Single,Management,45.0,36,112.34,1
40,Bachelor,Married,Tech,23.0,43,60.22,0
46,Bachelor,Single,Tech,33.0,34,97.39,1
44,Bachelor,Single,Management,29.0,90,131.99,1
41,Bachelor,Married,Tech,22.0,35,67.78,0
31,Master,Divorced,White Collar,,46,123.28,1
42,Bachelor,Single,Healthcare,15.0,39,135.32,1
27,PhD,Single,Healthcare,22.0,36,145.82,1
32,High School,Married,,15.0,37,77.16,0
30,High School,Married,Healthcare,11.0,40,101.58,1
35,High School,Married,Blue Collar,14.0,51,55.86,0
58,Bachelor,Single,White Collar,44.0,31,90.92,1
18,Master,Single,Tech,0.0,44,115.35,1
41,High School,Single,,29.0,43,112.14,1
18,Master,Married,Management,2.0,33,61.63,0
30,High School,Single,Tech,8.0,50,51.77,1
45,,Single,Management,21.0,43,114.86,1
35,High School,Divorced,Tech,24.0,36,82.68,0
24,,Single,Healthcare,0.0,26,77.7,0
27,Bachelor,Divorced,White Collar,13.0,41,101.16,1
41,High School,Married,Blue Collar,29.0,39,28.29,0
27,High School,Married,Tech,6.0,32,104.83,1
37,High School,Single,,20.0,32,83.07,0
35,Master,Single,Management,19.0,46,122.44,1
28,Bachelor,Married,Healthcare,7.0,26,110.77,1
56,High School,Married,Management,45.0,42,130.51,1
41,Bachelor,Married,Management,31.0,38,111.24,1
18,Bachelor,Single,Healthcare,2.0,43,98.71,1
36,,Married,Blue Collar,12.0,37,59.58,0
28,High School,Married,Management,12.0,42,58.99,0
43,High School,Married,Management,17.0,34,45.84,1
27,High School,Married,Tech,2.0,39,46.22,0
33,Bachelor,Married,Healthcare,13.0,43,107.72,1
40,High School,Married,White Collar,20.0,41,58.46,0
43,Bachelor,Single,Blue Collar,23.0,42,67.91,0
22,Bachelor,Single,Blue Collar,3.0,33,89.39,1
31,High School,Single,Healthcare,14.0,35,110.58,1
30,Bachelor,Single,,13.0,35,91.96,1
28,High School,Single,Tech,15.0,38,97.24,1
52,PhD,Single,Healthcare,45.0,49,172.19,1
39,Bachelor,Single,Tech,15.0,37,105.21,1
22,Master,Single,Blue Collar,3.0,31,76.83,0
44,Bachelor,Married,Blue Collar,25.0,43,77.85,0
56,High School,Divorced,White Collar,36.0,49,84.49,0
45,Bachelor,Single,Healthcare,31.0,31,154.68,1
19,PhD,Divorced,Management,6.0,53,121.48,1
30,Bachelor,Single,Management,13.0,42,43.31,0
47,Master,Single,White Collar,22.0,47,96.84,1
27,Master,Single,White Collar,14.0,50,79.17,0
39,High School,Single,Tech,34.0,46,96.38,1
42,High School,Married,White Collar,26.0,39,97.85,1
25,Bachelor,Married,White Collar,1.0,48,65.98,0
34,,Single,Management,24.0,41,58.01,0
18,Master,Single,Tech,5.0,47,93.94,1
24,Master,Single,White Collar,4.0,48,94.03,1
32,High School,Single,White Collar,1.0,32,45.81,0
22,High School,Single,Tech,10.0,45,64.91,0
51,Bachelor,Single,Healthcare,,38,148.62,1
20,High School,Married,Tech,0.0,40,98.36,1
30,Master,Divorced,Management,5.0,40,104.23,1
36,,Single,Healthcare,21.0,40,129.42,1
49,Bachelor,Divorced,Blue Collar,39.0,50,92.05,1
20,High School,Single,Tech,0.0,30,63.83,0
46,Bachelor,Single,Management,24.0,27,102.23,1
35,Bachelor,Single,Healthcare,8.0,26,104.57,1
25,Bachelor,Married,Tech,3.0,47,96.21,1
39,High School,Divorced,White Collar,16.0,34,50.02,0
36,Bachelor,Married,Tech,19.0,40,119.35,1
28,Master,Single,Blue Collar,0.0,39,36.44,0
35,High School,Married,Tech,18.0,33,61.88,0
31,,Single,Healthcare,16.0,45,140.11,1
36,High School,Married,Healthcare,8.0,39,80.0,0
41,Bachelor,Single,Tech,30.0,38,133.59,1
50,,Single,Healthcare,41.0,41,178.17,1
22,Bachelor,Married,White Collar,3.0,45,19.51,0
56,High School,Married,Tech,38.0,33,139.52,1
18,High School,Single,White Collar,1.0,46,60.38,1
33,Bachelor,Married,White Collar,10.0,50,111.01,1
40,Bachelor,Single,Management,26.0,30,79.37,1
37,PhD,Married,Tech,18.0,41,165.03,1
28,High School,Married,Healthcare,11.0,90,85.41,1
32,Bachelor,Married,White Collar,18.0,44,105.7,1
30,High School,Married,Management,,31,69.48,0
29,High School,Single,Tech,6.0,51,93.22,1
43,Bachelor,Single,Tech,14.0,28,102.78,1
38,Bachelor,Married,Blue Collar,17.0,38,38.01,1
28,PhD,Single,Blue Collar,22.0,43,44.39,0
43,High School,Single,White Collar,25.0,35,83.4,0
38,High School,Single,Blue Collar,19.0,34,55.73,0
43,,Single,White Collar,20.0,41,98.36,1
41,Bachelor,Married,Healthcare,22.0,40,116.36,1
26,High School,Single,White Collar,1.0,40,89.76,1
29,High School,Married,Blue Collar,9.0,46,54.41,0
42,High School,Single,Healthcare,16.0,37,91.26,1
41,Master,Single,Blue Collar,25.0,42,106.55,1
34,High School,Single,White Collar,15.0,36,57.23,0
36,High School,Single,Management,13.0,34,76.06,0
47,High School,Single,Tech,31.0,38,83.05,0
29,High School,Married,Blue Collar,14.0,36,52.63,0
40,High School,Single,White Collar,25.0,36,68.64,0
32,Bachelor,Married,Other,17.0,48,56.95,0
32,,Single,Blue Collar,11.0,38,90.91,1
45,Master,Single,Blue Collar,36.0,35,89.33,1
43,High School,Married,Tech,32.0,40,107.34,1
43,,Single,White Collar,15.0,40,69.14,0
48,Master,Single,Management,33.0,31,134.34,1
35,Bachelor,Single,Healthcare,15.0,37,85.91,1
41,Bachelor,Single,White Collar,30.0,37,115.61,1
31,High School,Married,Healthcare,12.0,38,132.72,1
38,High School,Single,,23.0,45,50.41,1
33,Bachelor,Married,Tech,22.0,40,132.54,1
35,PhD,Married,Tech,10.0,48,120.96,1
40,Bachelor,Single,Management,,39,124.92,1
26,Bachelor,Divorced,,8.0,52,137.57,1
55,Bachelor,Single,Blue Collar,32.0,36,91.53,1
24,Bachelor,Divorced,Management,0.0,34,40.99,0
22,High School,Single,,0.0,43,66.36,0
46,Bachelor,Married,Tech,25.0,49,122.69,1
42,PhD,Single,Management,,30,140.84,1
41,High School,Single,Blue Collar,19.0,38,56.2,0
41,Bachelor,Married,Healthcare,24.0,35,104.71,1
34,High School,Married,Healthcare,17.0,40,121.81,1
26,Bachelor,Single,Blue Collar,5.0,40,64.8,0
35,High School,Single,Blue Collar,19.0,49,33.93,0
28,Bachelor,Married,Healthcare,11.0,39,118.74,1
44,Bachelor,Married,Management,,49,117.12,1
33,High School,Divorced,Healthcare,9.0,37,83.09,0
26,Bachelor,Married,Blue Collar,13.0,46,100.0,1
31,Bachelor,Divorced,Tech,9.0,41,82.24,0
39,,Married,,17.0,52,99.62,1
29,High School,Single,Tech,7.0,29,89.77,1
26,Bachlor,Single,Tech,,31,88.14,1
37,High School,Married,Blue Collar,27.0,52,44.51,0
37,PhD,Married,Healthcare,16.0,34,146.28,1
29,Master,Single,Management,10.0,35,90.31,1
30,Bachelor,Single,Tech,6.0,33,106.74,1
37,Master,Divorced,Healthcare,22.0,48,139.42,1
20,Bachelor,Single,Management,0.0,31,71.09,0
20,Bachelor,Single,Tech,0.0,40,60.03,0
27,High School,Single,Management,9.0,38,62.8,0
32,Bachelor,Single,Healthcare,11.0,47,127.6,1
38,High School,Single,White Collar,18.0,36,54.87,0
49,Master,Single,Healthcare,35.0,42,152.35,1
43,Bachelor,Single,Blue Collar,22.0,31,61.67,0
33,Bachelor,Married,Management,6.0,55,61.52,0
34,High School,Single,White Collar,15.0,38,64.5,0
24,High School,Married,Management,13.0,40,74.08,0
34,High School,Married,Management,19.0,51,122.68,1
32,High School,Single,Tech,22.0,35,82.69,0
38,,Married,Blue Collar,13.0,51,57.4,0
26,Master,Single,Management,4.0,37,66.8,0
40,,Married,Healthcare,24.0,44,136.04,1
50,High School,Single,Healthcare,39.0,35,133.96,1
33,High School,Married,Tech,19.0,30,117.97,1
39,High School,Married,Blue Collar,24.0,42,90.23,1
41,Bachelor,Single,Blue Collar,22.0,44,89.23,1
30,,Single,,11.0,30,94.6,1
37,Master,Married,White Collar,12.0,37,98.29,1
35,Bachelor,Married,Tech,20.0,48,106.38,1
35,PhD,Single,Tech,24.0,44,160.87,1
27,Master,Married,Healthcare,14.0,37,138.72,1
35,High School,Single,Healthcare,17.0,35,92.07,1
39,Master,Married,White Collar,24.0,53,80.96,0
49,High School,Single,White Collar,32.0,29,114.07,1
44,Master,Married,Blue Collar,28.0,39,115.04,1
56,High School,Single,Tech,33.0,29,104.81,1
27,Master,Single,Tech,11.0,5,113.66,1
43,Master,Single,Healthcare,26.0,39,142.5,1
36,,Single,Blue Collar,14.0,41,112.97,1
56,Bachelor,Single,Tech,40.0,59,100.6,1
26,High School,Single,Blue Collar,5.0,35,34.46,0
26,,Married,Blue Collar,6.0,52,78.78,0
29,High School,Single,Healthcare,10.0,37,100.26,1
18,High School,Single,Blue Collar,5.0,38,75.25,0
29,Bachelor,Single,White Collar,4.0,58,47.76,0
27,High School,Single,White Collar,0.0,38,69.84,0
36,PhD,Single,Management,17.0,30,142.64,1
38,Bachelor,Single,Healthcare,25.0,41,89.77,1
53,Master,Single,Management,34.0,38,126.89,1
44,High School,Single,White Collar,21.0,42,74.87,0
29,Master,Single,Management,14.0,39,71.01,0
26,Master,Married,Healthcare,8.0,55,113.91,1
39,Bachelor,Single,Healthcare,19.0,43,135.66,1
21,Bachelor,Single,Blue Collar,0.0,32,41.98,0
53,Bachelor,Divorced,Tech,31.0,40,130.04,1
46,High School,Single,Blue Collar,23.0,34,73.19,0
30,Bachelor,Married,Healthcare,14.0,38,108.36,1
18,High School,Single,White Collar,0.0,33,29.7,0
48,High School,Married,White Collar,33.0,54,106.18,1
33,High School,Married,Blue Collar,10.0,35,18.46,0
47,High School,Single,Healthcare,23.0,44,110.77,1
19,High School,Divorced,Other,0.0,37,67.71,0
29,High School,Single,Healthcare,12.0,31,80.85,0
35,PhD,Single,White Collar,,41,100.65,1
35,Bachlor,Married,Healthcare,7.0,42,111.91,1
30,PhD,Married,Management,13.0,43,121.87,1
41,High School,Single,Healthcare,17.0,21,112.51,1
24,High School,Single,Healthcare,4.0,31,80.57,0
33,Bachelor,Single,Blue Collar,16.0,46,25.63,0
36,High School,Single,,24.0,33,108.6,1
40,High School,Married,Tech,20.0,41,135.6,1
42,Bachelor,Single,Blue Collar,23.0,31,106.68,1
23,High School,Single,Tech,0.0,45,-2.58,0
19,Bachelor,Single,White Collar,5.0,46,75.82,0
47,Bachelor,Single,Tech,17.0,45,100.47,1
38,High School,Single,Healthcare,18.0,47,80.92,0
27,High School,Married,Tech,7.0,50,80.25,0
50,Bachelor,Divorced,Blue Collar,34.0,31,92.22,1
36,Bachelor,Married,Blue Collar,,34,82.37,0
46,High School,Single,Tech,25.0,46,103.73,1
35,PhD,Married,Blue Collar,12.0,47,77.98,0
55,High School,Married,Blue Collar,41.0,35,78.47,0
52,Bachelor,Married,Tech,26.0,34,103.84,1
32,PhD,Single,Management,12.0,35,82.47,0
44,High School,Single,Management,22.0,28,57.77,1
41,High School,Single,White Collar,24.0,31,72.38,0
48,High School,Single,Blue Collar,34.0,31,107.88,1
25,High School,Single,Tech,6.0,37,62.69,0
41,High School,Single,Blue Collar,22.0,41,51.45,0
45,Bachelor,Single,Healthcare,33.0,43,110.97,1
18,High School,Married,Blue Collar,0.0,36,35.01,1
23,Bachelor,Single,Blue Collar,0.0,36,74.99,0
18,PhD,Single,Management,3.0,40,143.25,1
32,Master,Divorced,Tech,19.0,29,123.31,1
42,Bachelor,Divorced,Blue Collar,25.0,46,88.8,1
50,High School,Married,Management,31.0,48,89.73,1
35,Bachelor,Divorced,White Collar,18.0,35,76.47,0
51,Bachelor,Single,Management,33.0,37,128.38,1
21,High School,Divorced,Management,1.0,48,52.7,0
18,High School,Single,Management,6.0,39,57.75,1
34,Master,Single,Blue Collar,22.0,44,93.89,1
38,High School,Single,Blue Collar,33.0,39,64.18,0
34,High School,Single,White Collar,11.0,50,63.1,0
18,High School,Single,Healthcare,0.0,43,35.41,0
34,High School,Married,Healthcare,10.0,43,103.18,1
21,Master,Married,Healthcare,8.0,43,162.04,1
41,Bachelor,Married,White Collar,22.0,36,79.56,0
38,Bachelor,Single,Healthcare,18.0,36,122.88,1
25,High School,Married,Healthcare,9.0,45,105.03,1
29,High School,Married,Management,18.0,40,103.2,1
24,Bachelor,Single,Blue Collar,0.0,31,45.51,0
34,High School,Married,Blue Collar,9.0,53,17.13,0
44,High School,Single,Management,27.0,46,99.14,1
25,Bachelor,Single,Management,4.0,40,79.57,0
40,High School,Divorced,Management,24.0,38,80.69,0
29,Bachelor,Single,,15.0,41,67.13,0
27,High School,Single,Healthcare,0.0,43,82.27,0
33,High School,Married,Management,23.0,25,88.44,1
24,High School,Married,White Collar,7.0,54,63.8,0
29,PhD,Single,Management,10.0,34,109.05,1
23,Master,Single,Tech,0.0,39,104.69,1
54,,Single,Management,31.0,40,139.9,1
35,Bachelor,Married,Blue Collar,25.0,53,97.44,1
28,High School,Single,Management,10.0,39,56.45,0
37,Bachelor,Single,Tech,18.0,51,109.46,1
33,Bachelor,Divorced,White Collar,16.0,42,50.13,1
32,Master,Single,Healthcare,10.0,33,112.0,1
41,High School,Single,Management,30.0,5,98.75,1
42,,Single,Tech,26.0,39,94.93,1
29,High School,Married,Tech,8.0,32,69.6,0
29,High School,Single,White Collar,7.0,42,8.9,0
32,Bachelor,Single,Blue Collar,13.0,5,34.44,0
18,Bachelor,Married,Management,1.0,43,49.67,1
19,High School,Single,Tech,1.0,41,68.84,0
48,High School,Single,White Collar,26.0,35,88.87,1
51,Bachelor,Single,,32.0,45,135.28,1
32,Bachelor,Single,Tech,19.0,35,96.15,1
40,Master,Single,,28.0,18,100.02,1
38,PhD,Single,Blue Collar,27.0,40,129.52,1
65,Bachelor,Single,Blue Collar,,36,111.46,1
46,High School,Single,Tech,23.0,42,93.12,1
33,Bachelor,Married,Tech,15.0,53,129.67,1
25,High School,Divorced,Management,9.0,54,108.8,1
18,High School,Married,White Collar,2.0,38,21.89,0
37,Master,Married,Tech,13.0,34,125.05,1
27,High School,Single,Management,0.0,44,121.4,1
20,Master,Divorced,Management,5.0,37,96.0,1
28,Bachelor,Single,Tech,4.0,42,90.91,1
24,Bachelor,Divorced,Blue Collar,5.0,35,55.49,0
51,Bachelor,Divorced,White Collar,34.0,41,117.4,1
43,Master,Married,White Collar,17.0,34,116.1,1
34,Bachelor,Divorced,Blue Collar,16.0,48,49.3,0
49,Bachelor,Married,Tech,29.0,35,120.07,1
35,High School,Single,White Collar,15.0,44,22.41,0
26,Bachelor,Single,Tech,16.0,31,93.41,1
50,High School,Married,Other,30.0,45,65.95,0
40,Bachelor,Single,Management,24.0,33,108.38,1
24,Bachelor,Married,Blue Collar,13.0,41,32.67,0
33,Bachelor,Divorced,Tech,17.0,47,94.35,1
26,High School,Single,Healthcare,10.0,38,107.33,1
21,High School,Married,Blue Collar,0.0,32,21.27,0
44,Bachelor,Divorced,White Collar,,43,64.1,0
54,High School,Divorced,Management,39.0,34,112.55,1
21,,Divorced,White Collar,1.0,37,35.07,0
40,High School,Single,White Collar,28.0,41,78.48,0
28,PhD,Divorced,Blue Collar,13.0,49,84.4,0
30,Bachelor,Married,White Collar,20.0,40,124.49,1
29,High School,Single,Tech,6.0,40,44.44,0
26,High School,Single,White Collar,9.0,45,115.07,1
35,High School,Married,Management,17.0,40,71.19,0
26,Bachelor,Single,Management,3.0,44,80.87,0
37,Bachelor,Married,Healthcare,22.0,47,109.7,1
34,High School,Married,Management,17.0,37,65.67,0
32,,Single,White Collar,19.0,17,49.5,0
25,High School,Married,Management,12.0,34,80.83,0
29,Bachelor,Married,,15.0,48,42.98,0
42,Bachelor,Single,,26.0,39,112.88,1
40,High School,Single,Tech,23.0,37,52.71,1
25,High School,Single,Blue Collar,5.0,48,50.07,0
35,High School,Single,Healthcare,21.0,39,119.78,1
42,PhD,Divorced,Tech,22.0,25,113.31,1
18,High School,Single,White Collar,0.0,29,56.57,1
40,Bachelor,Married,White Collar,24.0,42,94.43,1
28,Bachelor,Single,White Collar,14.0,39,109.97,1
40,High School,Single,Tech,21.0,50,79.9,0
27,High School,Married,Tech,10.0,34,133.92,1
18,High School,Married,Tech,0.0,37,16.78,0
18,Bachelor,Single,Blue Collar,0.0,33,42.21,0
35,Bachelor,Single,Blue Collar,16.0,36,38.23,0
37,Bachelor,Single,White Collar,22.0,26,124.02,1
25,,Single,Management,11.0,37,78.17,0
41,High School,Married,White Collar,27.0,39,77.77,1
18,PhD,Single,Healthcare,7.0,39,135.86,1
34,Bachelor,Single,Blue Collar,11.0,55,70.5,1
22,High School,Single,Tech,15.0,52,72.32,1
28,PhD,Divorced,,7.0,34,64.87,0
35,Bachelor,Divorced,Tech,21.0,25,108.37,1
26,Bachelor,Single,Healthcare,10.0,39,110.78,1
31,Bachelor,Married,Healthcare,17.0,42,126.71,1
45,Master,Single,Blue Collar,19.0,33,131.85,1
29,Bachelor,Single,Tech,10.0,34,49.92,0
